timestamp,status
1631996202577026973,down
1631996219101501194,up
1631996237580493668,down
1631996238109887462,up
1631996238114659473,down
1631996238128213905,up
1631996238136524654,down
1631996238142491019,up
1631996238148769603,down
1631996238154703378,up
1631996238160398317,down
1631996238181681995,up
1631996238186698072,down
1631996238191220463,up
1631996238195353468,down
1631996238209267228,up
1631996238213047314,down
1631996256637442777,up
1631996257660957938,down
1631996259709788749,up
1631996260733676325,down
1631996267901403083,up
